v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.136060	0.170566	0.000045	9.999999	9.999999	0.00	0.01	92.00 !	0.00	2200	1.1408	9.674	4.952
0.100	0.032	0.141909	0.188639	0.139596	9.999999	9.999999	7.52	27.68	92.00 !	9.41	2200	1.2616	10.090	5.476
0.200	0.064	0.143336	0.186370	0.279869	9.125074	9.999999	15.38	46.94	90.00 !	18.81	2200	1.2465	10.191	5.410
0.300	0.095	0.143470	0.183634	0.421047	4.059377	9.999999	23.44	60.41	77.00	28.22	2200	1.2282	10.201	5.331
0.400	0.127	0.140809	0.179816	0.563760	2.241043	7.154663	31.32	70.12	73.00	37.63	2200	1.2026	10.012	5.220
0.500	0.159	0.137802	0.176252	0.707527	1.403643	3.590583	39.09	77.03	69.00	47.03	2200	1.1788	9.798	5.117
0.600	0.191	0.133791	0.173053	0.852149	0.946376	2.040161	46.39	82.06	64.00	56.44	2200	1.1574	9.513	5.024
0.700	0.223	0.128947	0.170249	0.997427	0.670123	1.263954	53.02	85.80	59.00	65.85	2200	1.1387	9.168	4.942
0.800	0.255	0.123981	0.166685	1.144750	0.493303	0.829022	59.50	88.57	35.00	75.25	2200	1.1148	8.815	4.839
0.900	0.286	0.120604	0.163612	1.292646	0.379155	0.571514	66.34	90.55	0.00	84.66	2200	1.0943	8.575	4.750
1.000	0.318	0.115616	0.162075	1.438987	0.294415	0.412720	71.34	92.16	0.00	94.06	2200	1.0840	8.221	4.705
1.100	0.350	0.107317	0.157830	1.591310	0.225851	0.301961	74.79	93.60	1.00	103.47	2200	1.0556	7.630	4.582
1.200	0.382	0.097143	0.150693	1.752116	0.171786	0.222069	77.36	94.84	1.00	112.88	2200	1.0079	6.907	4.375
1.300	0.414	0.084102	0.141261	1.922821	0.126724	0.163732	77.40	95.97	4.00	122.28	2200	0.9448	5.980	4.101
1.400	0.446	0.065244	0.121278	2.134869	0.084767	0.112548	75.32	97.14	4.00	131.69	2200	0.8111	4.639	3.521
1.420	0.452	0.061257	0.116641	2.182320	0.077360	0.103735	74.57	97.36	4.00	133.57	2200	0.7801	4.355	3.386
1.440	0.458	0.057292	0.111939	2.231342	0.070357	0.095463	73.70	97.57	4.00	135.45	2200	0.7487	4.074	3.250
1.460	0.465	0.051886	0.108105	2.278158	0.061985	0.088456	70.07	97.84	4.00	137.33	2200	0.7230	3.689	3.138
1.480	0.471	0.047786	0.103123	2.331258	0.055555	0.081005	68.58	98.04	7.00	139.22	2200	0.6897	3.398	2.994
1.500	0.477	0.043677	0.098043	2.386754	0.049433	0.073975	66.82	98.24	7.00	141.10	2200	0.6557	3.106	2.846
1.520	0.484	0.039551	0.092850	2.445047	0.043592	0.067327	64.75	98.43	7.00	142.98	2200	0.6210	2.812	2.695
1.540	0.490	0.035371	0.087571	2.506391	0.037980	0.061057	62.20	98.62	7.00	144.86	2200	0.5857	2.515	2.542
1.560	0.497	0.031195	0.082131	2.571714	0.032641	0.055090	59.25	98.80	7.00	146.74	2200	0.5493	2.218	2.384
1.580	0.503	0.027009	0.076592	2.641315	0.027551	0.049448	55.72	98.97	7.00	148.62	2200	0.5123	1.920	2.224
1.600	0.509	0.022791	0.070917	2.716252	0.022671	0.044089	51.42	99.15	7.00	150.50	2200	0.4743	1.621	2.059
1.620	0.516	0.018567	0.065142	2.797326	0.018015	0.039017	46.17	99.32	7.00	152.38	2200	0.4357	1.320	1.891
1.640	0.522	0.014234	0.059326	2.885323	0.013477	0.034250	39.35	99.48	7.00	154.27	2200	0.3968	1.012	1.722
1.660	0.528	0.010053	0.053460	2.981962	0.009290	0.029761	31.22	99.64	7.00	156.15	2200	0.3575	0.715	1.552
1.680	0.535	0.004003	0.048952	3.071534	0.003612	0.026289	13.74	99.86	10.00	158.03	2200	0.3274	0.285	1.421
1.700	0.541	-0.000338	0.042775	3.193088	-0.000298	0.022171	0.00	99.99	10.00	159.91	2200	0.2861	-0.024	1.242
1.720	0.547	-0.004737	0.036421	3.336254	-0.004078	0.018226	0.00	99.99	10.00	161.79	2200	0.2436	-0.337	1.057
1.740	0.554	-0.009137	0.029987	3.508838	-0.007685	0.014495	0.00	99.99	10.00	163.67	2200	0.2006	-0.650	0.871
1.760	0.560	-0.013725	0.023604	3.723201	-0.011283	0.011025	0.00	99.99	10.00	165.55	2200	0.1579	-0.976	0.685
1.780	0.567	-0.018179	0.016929	4.024326	-0.014611	0.007644	0.00	99.99	10.00	167.44	2200	0.1132	-1.293	0.491
1.800	0.573	-0.022646	0.010151	4.507885	-0.017799	0.004432	0.00	99.99	10.00	169.32	2200	0.0679	-1.610	0.295
1.820	0.579	-0.027159	0.003211	5.737879	-0.020879	0.001356	0.00	99.99	10.00	171.20	2200	0.0215	-1.931	0.093
1.840	0.586	-0.031665	-0.003796	5.610007	-0.023817	-0.001552	0.16	48.20	10.00	173.08	2200	-0.0254	-2.251	-0.110
