v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.084650	0.661091	0.000034	9.999999	9.999999	0.00	0.01	97.00 !	0.00	2200	4.421	6.019	19.192
0.100	0.032	0.049186	0.258575	0.131064	9.999999	9.999999	1.90	42.49	97.00 !	9.41	2200	1.729	3.497	7.507
0.200	0.064	0.054491	0.288788	0.256398	3.469011	9.999999	3.77	63.77	97.00	18.81	2200	1.931	3.874	8.384
0.300	0.095	0.057661	0.309143	0.379393	1.631475	9.999999	5.60	75.70	97.00	28.22	2200	2.068	4.100	8.975
0.400	0.127	0.060071	0.328458	0.499763	0.956054	9.999999	7.32	82.74	97.00	37.63	2200	2.197	4.271	9.535
0.500	0.159	0.061957	0.347372	0.617747	0.631086	7.076608	8.92	87.13	97.00	47.03	2200	2.323	4.405	10.084
0.600	0.191	0.063372	0.366344	0.733455	0.448262	4.318920	10.38	90.03	97.00	56.44	2200	2.450	4.506	10.635
0.700	0.223	0.064571	0.385586	0.846981	0.335569	2.862641	11.72	92.01	95.00	65.85	2200	2.579	4.591	11.194
0.800	0.255	0.065375	0.405703	0.958183	0.260117	2.017802	12.89	93.43	95.00	75.25	2200	2.713	4.648	11.778
0.900	0.286	0.066284	0.426438	1.067262	0.208385	1.489598	13.99	94.46	95.00	84.66	2200	2.852	4.713	12.380
1.000	0.318	0.067004	0.448562	1.173912	0.170625	1.142255	14.94	95.23	92.00	94.06	2200	3.000	4.764	13.022
1.100	0.350	0.067904	0.471558	1.278456	0.142905	0.902188	15.84	95.82	92.00	103.47	2200	3.154	4.828	13.690
1.200	0.382	0.069107	0.496292	1.380492	0.122207	0.731364	16.71	96.25	83.00	112.88	2200	3.319	4.914	14.408
1.300	0.414	0.071844	0.525336	1.478618	0.108254	0.608901	17.78	96.53	80.00	122.28	2200	3.514	5.108	15.251
1.400	0.446	0.079784	0.567239	1.568104	0.103657	0.526407	19.69	96.53	80.00	131.69	2200	3.794	5.673	16.467
1.500	0.477	0.087014	0.610671	1.655502	0.098480	0.460759	21.37	96.56	80.00	141.10	2200	4.084	6.187	17.728
1.600	0.509	0.093840	0.654112	1.741765	0.093345	0.406661	22.95	96.59	80.00	150.50	2200	4.375	6.672	18.989
1.700	0.541	0.099857	0.698652	1.826403	0.087988	0.362122	24.30	96.63	77.00	159.91	2200	4.673	7.100	20.282
1.800	0.573	0.105530	0.743058	1.910152	0.082941	0.324448	25.56	96.67	77.00	169.32	2200	4.970	7.503	21.571
1.900	0.605	0.110769	0.787430	1.993018	0.078136	0.292342	26.73	96.72	77.00	178.72	2200	5.266	7.876	22.859
2.000	0.637	0.115615	0.830646	2.075615	0.073603	0.264403	27.84	96.76	73.00	188.13	2200	5.555	8.220	24.114
2.100	0.668	0.121013	0.862881	2.162863	0.069877	0.237265	29.45	96.78	73.00	197.54	2200	5.771	8.604	25.050
2.200	0.700	0.126927	0.877674	2.258167	0.066780	0.209896	31.82	96.77	73.00	206.94	2200	5.870	9.025	25.479
2.300	0.732	0.132652	0.893380	2.352451	0.063855	0.186979	34.15	96.77	73.00	216.35	2200	5.975	9.432	25.935
2.400	0.764	0.138106	0.910113	2.445638	0.061056	0.167649	36.42	96.76	69.00	225.76	2200	6.087	9.820	26.421
2.500	0.796	0.143274	0.927952	2.537668	0.058375	0.151233	38.60	96.76	69.00	235.16	2200	6.206	10.187	26.939
2.600	0.828	0.148188	0.946769	2.628600	0.055822	0.137172	40.69	96.76	69.00	244.57	2200	6.332	10.536	27.485
2.700	0.859	0.152721	0.966031	2.718727	0.053347	0.124980	42.68	96.76	69.00	253.97	2200	6.461	10.859	28.044
2.800	0.891	0.156889	0.986127	2.807834	0.050958	0.114393	44.55	96.76	69.00	263.38	2200	6.595	11.155	28.628
2.900	0.923	0.161078	1.007071	2.895916	0.048773	0.105149	46.38	96.76	64.00	272.79	2200	6.735	11.453	29.236
3.000	0.955	0.164881	1.028820	2.983001	0.046652	0.097032	48.08	96.76	64.00	282.19	2200	6.881	11.723	29.867
3.100	0.987	0.168375	1.051333	3.069118	0.044616	0.089866	49.65	96.76	64.00	291.60	2200	7.031	11.972	30.521
3.200	1.019	0.171643	1.074367	3.154419	0.042684	0.083492	51.12	96.76	64.00	301.01	2200	7.186	12.204	31.189
3.300	1.050	0.174942	1.097720	3.239035	0.040908	0.077784	52.59	96.76	59.00	310.41	2200	7.342	12.439	31.867
3.400	1.082	0.177788	1.121783	3.322746	0.039164	0.072680	53.89	96.77	59.00	319.82	2200	7.503	12.641	32.566
3.500	1.114	0.180437	1.146438	3.405634	0.037508	0.068090	55.09	96.77	59.00	329.23	2200	7.668	12.829	33.282
3.600	1.146	0.183330	1.171578	3.487774	0.036022	0.063945	56.33	96.77	59.00	338.63	2200	7.836	13.035	34.011
3.700	1.178	0.185813	1.198063	3.568665	0.034563	0.060230	57.38	96.77	59.00	348.04	2200	8.013	13.212	34.780
3.800	1.210	0.188051	1.224785	3.648981	0.033163	0.056839	58.34	96.78	53.00	357.45	2200	8.192	13.371	35.556
3.900	1.241	0.190036	1.251544	3.728854	0.031816	0.053727	59.22	96.78	53.00	366.85	2200	8.370	13.512	36.333
4.000	1.273	0.192540	1.278819	3.808011	0.030644	0.050883	60.22	96.78	53.00	376.26	2200	8.553	13.690	37.125
4.100	1.305	0.194535	1.307675	3.885831	0.029469	0.048316	60.99	96.78	53.00	385.67	2200	8.746	13.832	37.962
