v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.000000	0.000000	∞	0.000000	0.000000	-0.00	59.26	0.00	0.00	2200	0.00	0.000	0.0000
0.020	0.006	-0.001221	0.000222	0.107608	-7.775475	9.999999	0.00	NaN	50.00	1.88	2200	1.48	-0.087	0.0064
0.040	0.013	-0.001231	0.000213	0.217004	-1.958948	8.466892	0.00	NaN	50.00	3.76	2200	1.42	-0.088	0.0062
0.060	0.019	-0.001258	0.000216	0.324479	-0.889768	2.548638	0.00	99.99	50.00	5.64	2200	1.45	-0.089	0.0063
0.080	0.025	-0.001243	0.000217	0.432478	-0.494722	1.077213	0.00	99.99	50.00	7.53	2200	1.45	-0.088	0.0063
0.100	0.032	-0.001280	0.000219	0.539324	-0.326042	0.558072	0.00	99.99	50.00	9.41	2200	1.47	-0.091	0.0064
0.120	0.038	-0.001269	0.000220	0.646710	-0.224441	0.324155	0.00	99.99	50.00	11.29	2200	1.47	-0.090	0.0064
0.140	0.045	-0.001292	0.000221	0.754065	-0.167890	0.204717	0.00	99.99	50.00	13.17	2200	1.48	-0.092	0.0064
0.160	0.051	-0.001235	0.000219	0.863393	-0.122884	0.135874	0.00	99.99	50.00	15.05	2200	1.46	-0.088	0.0063
0.180	0.057	-0.001272	0.000219	0.970633	-0.099934	0.095766	0.00	99.99	50.00	16.93	2200	1.47	-0.090	0.0064
0.200	0.064	-0.001284	0.000226	1.072290	-0.081740	0.071852	0.00	99.99	50.00	18.81	2200	1.51	-0.091	0.0066
0.220	0.070	-0.001300	0.000224	1.181314	-0.068404	0.053575	0.00	99.99	50.00	20.69	2200	1.50	-0.092	0.0065
0.240	0.076	-0.001283	0.000232	1.280210	-0.056703	0.042654	0.00	99.99	50.00	22.58	2200	1.55	-0.091	0.0067
0.260	0.083	-0.001304	0.000230	1.388781	-0.049120	0.033321	0.00	99.99	50.00	24.46	2200	1.54	-0.093	0.0067
0.280	0.089	-0.001258	0.000222	1.506189	-0.040858	0.025755	0.00	99.99	50.00	26.34	2200	1.48	-0.089	0.0064
0.300	0.095	-0.001770	0.000361	1.463885	-0.050091	0.034092	0.00	99.99	51.00	28.22	2200	2.42	-0.126	0.0105
