v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[Nm]
0.000	0.000	0.006105	0.000278	0.000162	9.999999	9.999999	0.07	0.05	0.00 !	0.00	2200	1.861	0.4341	8.08
0.050	0.016	-0.001079	0.002376	0.167419	-1.099294	9.999999	0.00	NaN	0.00	4.70	2200	15.890	-0.0767	68.97
0.060	0.019	-0.001624	0.002344	0.201451	-1.148596	9.999999	0.00	NaN	0.00	5.64	2200	15.675	-0.1155	68.04
0.070	0.022	-0.002203	0.002304	0.235821	-1.144863	9.999999	0.00	NaN	0.00	6.58	2200	15.413	-0.1566	66.90
0.080	0.025	-0.002588	0.002245	0.270920	-1.029625	9.999999	0.00	NaN	0.00	7.53	2200	15.016	-0.1840	65.18
0.090	0.029	-0.003128	0.002197	0.306100	-0.983319	7.675543	0.00	99.99	0.00	8.47	2200	14.696	-0.2224	63.79
0.100	0.032	-0.003862	0.002157	0.341380	-0.983465	5.492226	0.00	99.99	0.00	9.41	2200	14.425	-0.2746	62.61
0.110	0.035	-0.004371	0.002086	0.378017	-0.919922	3.991819	0.00	99.99	0.00	10.35	2200	13.954	-0.3108	60.57
0.120	0.038	-0.005036	0.002024	0.414904	-0.890557	2.982391	0.00	99.99	0.00	11.29	2200	13.535	-0.3581	58.75
0.130	0.041	-0.005552	0.001942	0.453200	-0.836599	2.251005	0.00	99.99	0.00	12.23	2200	12.989	-0.3948	56.38
0.140	0.045	-0.006261	0.001866	0.491971	-0.813470	1.731802	0.00	99.99	0.00	13.17	2200	12.481	-0.4452	54.17
0.150	0.048	-0.006840	0.001771	0.532668	-0.774101	1.336107	0.00	99.99	0.00	14.11	2200	11.844	-0.4863	51.41
0.160	0.051	-0.007475	0.001674	0.574614	-0.743503	1.040640	0.00	99.99	0.00	15.05	2200	11.195	-0.5314	48.59
0.170	0.054	-0.008463	0.001591	0.616759	-0.745746	0.824635	0.00	99.99	0.00	15.99	2200	10.641	-0.6018	46.19
0.180	0.057	-0.008962	0.001457	0.664673	-0.704403	0.635984	0.00	99.99	0.00	16.93	2200	9.742	-0.6372	42.28
0.190	0.060	-0.009885	0.001346	0.712810	-0.697314	0.499548	0.00	99.99	0.00	17.87	2200	8.999	-0.7029	39.06
0.200	0.064	-0.010628	0.001214	0.765946	-0.676625	0.386375	0.00	99.99	0.00	18.81	2200	8.118	-0.7557	35.24
0.210	0.067	-0.011634	0.001082	0.822877	-0.671765	0.297648	0.00	99.99	0.00	19.75	2200	7.240	-0.8272	31.42
0.220	0.070	-0.012362	0.000917	0.891113	-0.650412	0.219342	0.00	99.99	0.00	20.69	2200	6.134	-0.8790	26.63
0.230	0.073	-0.013353	0.000755	0.968530	-0.642794	0.158063	0.00	99.99	0.00	21.63	2200	5.051	-0.9494	21.92
0.240	0.076	-0.014389	0.000586	1.063115	-0.636118	0.108010	0.00	99.99	0.00	22.58	2200	3.922	-1.0231	17.02
0.250	0.080	-0.015209	0.000379	1.208719	-0.619655	0.061687	0.00	99.99	0.00	23.52	2200	2.532	-1.0814	10.99
0.260	0.083	-0.016324	0.000190	1.443178	-0.614918	0.027497	0.00	99.99	0.00	24.46	2200	1.269	-1.1607	5.51
0.270	0.086	-0.017458	0.000102	1.695860	-0.609835	0.013235	0.00	99.99	0.00	25.40	2200	0.684	-1.2413	2.97
0.280	0.089	-0.018353	-0.000142	1.646599	-0.596132	-0.016494	1.65	58.62	0.00	26.34	2200	-0.951	-1.3050	-4.13
