v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
1.200	0.382	-0.225911	0.093799	1.926380	-0.399499	0.138227	0.00	99.99	97.00	112.88	2200	627.34	-16.063	2.7230
1.220	0.388	-0.228673	0.095757	1.950408	-0.391233	0.134287	0.00	99.99	97.00	114.76	2200	640.44	-16.259	2.7799
1.240	0.395	-0.231100	0.097145	1.976686	-0.382733	0.129746	0.00	99.99	97.00	116.64	2200	649.72	-16.432	2.8202
1.260	0.401	-0.233225	0.097956	2.005230	-0.374088	0.124698	0.00	99.99	97.00	118.52	2200	655.14	-16.583	2.8437
1.280	0.407	-0.235125	0.098310	2.035591	-0.365443	0.119373	0.00	99.99	97.00	120.40	2200	657.51	-16.718	2.8540
1.300	0.414	-0.236872	0.098379	2.067108	-0.356918	0.114028	0.00	99.99	97.00	122.28	2200	657.97	-16.842	2.8560
1.320	0.420	-0.238523	0.097847	2.101185	-0.348597	0.108334	0.00	99.99	97.00	124.17	2200	654.42	-16.959	2.8406
1.340	0.427	-0.240167	0.097301	2.135408	-0.340599	0.102978	0.00	99.99	97.00	126.05	2200	650.77	-17.076	2.8247
1.360	0.433	-0.241801	0.096833	2.169373	-0.332905	0.098027	0.00	99.99	97.00	127.93	2200	647.63	-17.192	2.8111
1.380	0.439	-0.243428	0.096442	2.203057	-0.325501	0.093448	0.00	99.99	97.00	129.81	2200	645.02	-17.308	2.7998
1.400	0.446	-0.245048	0.096129	2.236439	-0.318372	0.089209	0.00	99.99	97.00	131.69	2200	642.92	-17.423	2.7907
1.420	0.452	-0.246662	0.095894	2.269497	-0.311506	0.085284	0.00	99.99	97.00	133.57	2200	641.36	-17.538	2.7839
1.440	0.458	-0.248310	0.095706	2.302366	-0.304937	0.081619	0.00	99.99	97.00	135.45	2200	640.10	-17.655	2.7784
1.460	0.465	-0.250077	0.095494	2.335380	-0.298751	0.078137	0.00	99.99	97.00	137.33	2200	638.68	-17.781	2.7722
1.480	0.471	-0.251842	0.095355	2.368064	-0.292782	0.074903	0.00	99.99	97.00	139.22	2200	637.74	-17.906	2.7682
1.500	0.477	-0.253606	0.095288	2.400398	-0.287024	0.071896	0.00	99.99	97.00	141.10	2200	637.30	-18.032	2.7663
1.520	0.484	-0.255371	0.095296	2.432366	-0.281465	0.069101	0.00	99.99	97.00	142.98	2200	637.35	-18.157	2.7665
1.540	0.490	-0.257137	0.095377	2.463953	-0.276098	0.066500	0.00	99.99	97.00	144.86	2200	637.89	-18.283	2.7688
1.560	0.497	-0.258905	0.095531	2.495145	-0.270914	0.064078	0.00	99.99	97.00	146.74	2200	638.92	-18.409	2.7733
1.580	0.503	-0.260787	0.095659	2.526459	-0.266019	0.061758	0.00	99.99	97.00	148.62	2200	639.78	-18.542	2.7770
1.600	0.509	-0.262730	0.095803	2.557668	-0.261342	0.059561	0.00	99.99	97.00	150.50	2200	640.74	-18.680	2.7812
1.620	0.516	-0.264677	0.096016	2.588489	-0.256819	0.057509	0.00	99.99	97.00	152.38	2200	642.17	-18.819	2.7874
1.640	0.522	-0.266631	0.096297	2.618917	-0.252443	0.055593	0.00	99.99	97.00	154.27	2200	644.05	-18.958	2.7955
1.660	0.528	-0.268591	0.096645	2.648938	-0.248207	0.053802	0.00	99.99	97.00	156.15	2200	646.38	-19.097	2.8057
1.680	0.535	-0.270557	0.097063	2.678543	-0.244107	0.052127	0.00	99.99	97.00	158.03	2200	649.17	-19.237	2.8178
1.700	0.541	-0.272542	0.097538	2.707783	-0.240146	0.050556	0.00	99.99	97.00	159.91	2200	652.35	-19.378	2.8316
1.720	0.547	-0.274700	0.097919	2.737507	-0.236451	0.049003	0.00	99.99	97.00	161.79	2200	654.89	-19.532	2.8426
1.740	0.554	-0.276865	0.098361	2.766844	-0.232868	0.047546	0.00	99.99	97.00	163.67	2200	657.85	-19.686	2.8555
1.760	0.560	-0.279042	0.098866	2.795783	-0.229395	0.046179	0.00	99.99	97.00	165.55	2200	661.23	-19.840	2.8701
1.780	0.567	-0.281228	0.099432	2.824328	-0.226026	0.044896	0.00	99.99	97.00	167.44	2200	665.01	-19.996	2.8865
1.800	0.573	-0.283599	0.099882	2.853482	-0.222895	0.043612	0.00	99.99	97.00	169.32	2200	668.02	-20.164	2.8996
1.820	0.579	-0.285990	0.100378	2.882327	-0.219861	0.042400	0.00	99.99	97.00	171.20	2200	671.34	-20.334	2.9140
1.840	0.586	-0.288501	0.100818	2.911456	-0.216996	0.041212	0.00	99.99	97.00	173.08	2200	674.28	-20.513	2.9268
1.860	0.592	-0.291113	0.101218	2.940771	-0.214277	0.040055	0.00	99.99	97.00	174.96	2200	676.96	-20.699	2.9384
1.880	0.598	-0.293920	0.101472	2.970903	-0.211765	0.038888	0.00	99.99	97.00	176.84	2200	678.66	-20.898	2.9458
1.900	0.605	-0.296794	0.101715	3.001074	-0.209357	0.037763	0.00	99.99	97.00	178.72	2200	680.28	-21.103	2.9528
1.920	0.611	-0.299880	0.101790	3.032214	-0.207150	0.036622	0.00	99.99	97.00	180.60	2200	680.79	-21.322	2.9550
1.940	0.618	-0.303039	0.101839	3.063508	-0.205038	0.035518	0.00	99.99	97.00	182.49	2200	681.11	-21.547	2.9564
1.960	0.624	-0.306392	0.101732	3.095739	-0.203098	0.034406	0.00	99.99	97.00	184.37	2200	680.40	-21.785	2.9533
1.980	0.630	-0.309814	0.101596	3.128165	-0.201239	0.033329	0.00	99.99	97.00	186.25	2200	679.49	-22.028	2.9494
2.000	0.637	-0.313436	0.101293	3.161653	-0.199539	0.032243	0.00	99.99	97.00	188.13	2200	677.46	-22.286	2.9406
