v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]
0.000	0.000	0.117664	0.050984	0.000057	9.999999	9.999999	0.01	0.01	0.00 !	0.00	2200	340.99	8.366	1.4801
0.050	0.016	0.119161	0.046060	0.092535	9.999999	9.999999	12.94	16.33	30.00 !	4.70	2200	308.05	8.473	1.3371
0.100	0.032	0.112014	0.052355	0.180388	9.999999	9.999999	21.40	30.64	0.00 !	9.41	2200	350.16	7.964	1.5199
0.150	0.048	0.108128	0.052729	0.270198	9.999999	9.999999	30.76	42.52	0.00 !	14.11	2200	352.66	7.688	1.5307
0.200	0.064	0.103008	0.052582	0.360465	6.557689	9.999999	39.18	52.64	0.00 !	18.81	2200	351.67	7.324	1.5265
0.250	0.080	0.095724	0.051185	0.453013	3.900145	8.341904	46.75	61.47	0.00	23.52	2200	342.33	6.806	1.4859
0.300	0.095	0.089174	0.050065	0.546027	2.523119	4.721839	53.44	68.72	0.00	28.22	2200	334.84	6.340	1.4534
0.350	0.111	0.081623	0.048285	0.641660	1.696746	2.867816	59.17	74.90	0.00	32.92	2200	322.94	5.804	1.4017
0.400	0.127	0.072757	0.045551	0.741927	1.157960	1.812403	63.89	80.24	0.00	37.63	2200	304.65	5.173	1.3224
0.450	0.143	0.063359	0.042141	0.847757	0.796747	1.177629	67.66	84.76	0.00	42.33	2200	281.85	4.505	1.2234
0.500	0.159	0.053673	0.038116	0.961055	0.546705	0.776495	70.41	88.52	0.00	47.03	2200	254.93	3.816	1.1065
0.550	0.175	0.043345	0.033505	1.084776	0.364885	0.512819	71.15	91.72	1.00	51.74	2200	224.09	3.082	0.9727
0.600	0.191	0.033052	0.028233	1.224617	0.233795	0.332844	70.24	94.35	1.00	56.44	2200	188.83	2.350	0.8196
0.610	0.194	0.030951	0.027074	1.255512	0.211811	0.303735	69.74	94.82	1.00	57.38	2200	181.07	2.201	0.7860
0.620	0.197	0.028580	0.026244	1.284060	0.189332	0.280412	67.52	95.32	1.00	58.32	2200	175.52	2.032	0.7619
0.630	0.201	0.026446	0.025032	1.317172	0.169678	0.254923	66.56	95.76	1.00	59.26	2200	167.42	1.880	0.7267
0.640	0.204	0.024285	0.023781	1.351872	0.150980	0.231005	65.36	96.18	4.00	60.20	2200	159.05	1.727	0.6904
0.650	0.207	0.022135	0.022515	1.388098	0.133411	0.208769	63.90	96.59	4.00	61.14	2200	150.58	1.574	0.6536
0.660	0.210	0.019964	0.021213	1.426340	0.116705	0.187894	62.11	96.99	4.00	62.08	2200	141.88	1.419	0.6158
0.670	0.213	0.017776	0.019879	1.466889	0.100837	0.168307	59.91	97.37	4.00	63.02	2200	132.95	1.264	0.5771
0.680	0.216	0.015577	0.018514	1.510119	0.085782	0.149935	57.21	97.75	4.00	63.96	2200	123.82	1.108	0.5375
0.690	0.220	0.013374	0.017123	1.556434	0.071533	0.132735	53.89	98.10	4.00	64.90	2200	114.52	0.951	0.4971
0.700	0.223	0.011096	0.015757	1.605474	0.057664	0.116982	49.29	98.46	4.00	65.85	2200	105.39	0.789	0.4574
0.710	0.226	0.008861	0.014301	1.660288	0.044762	0.101751	43.99	98.79	4.00	66.79	2200	95.65	0.630	0.4152
0.720	0.229	0.006657	0.012843	1.720282	0.032701	0.087621	37.32	99.11	4.00	67.73	2200	85.90	0.473	0.3728
0.730	0.232	0.003990	0.011992	1.768242	0.019066	0.078501	24.29	99.48	4.00	68.67	2200	80.21	0.284	0.3481
0.740	0.236	0.001710	0.010454	1.842355	0.007952	0.065696	12.10	99.78	7.00	69.61	2200	69.92	0.122	0.3035
0.750	0.239	-0.000589	0.008879	1.929250	-0.002668	0.053594	0.00	99.99	7.00	70.55	2200	59.38	-0.042	0.2578
0.760	0.242	-0.002887	0.007282	2.034039	-0.012728	0.042245	0.00	99.99	7.00	71.49	2200	48.71	-0.205	0.2114
0.770	0.245	-0.005200	0.005680	2.165845	-0.022334	0.031680	0.00	99.99	7.00	72.43	2200	37.99	-0.370	0.1649
0.780	0.248	-0.007548	0.003999	2.353454	-0.031591	0.021459	0.00	99.99	7.00	73.37	2200	26.75	-0.537	0.1161
0.790	0.251	-0.009882	0.002305	2.661249	-0.040321	0.011906	0.00	99.99	7.00	74.31	2200	15.42	-0.703	0.0669
0.800	0.255	-0.012208	0.000595	3.533641	-0.048573	0.002958	0.00	99.99	7.00	75.25	2200	3.98	-0.868	0.0173
0.810	0.258	-0.014599	-0.001192	3.113383	-0.056662	-0.005711	0.57	55.53	7.00	76.19	2200	-7.97	-1.038	-0.0346
