v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.127707	0.106267	0.000049	9.999999	9.999999	0.00	0.01	54.00 !	0.00	2200	0.7107	9.080	3.0850
0.100	0.032	0.130310	0.107625	0.156177	9.999999	9.999999	12.11	28.72	78.00 !	9.41	2200	0.7198	9.265	3.1244
0.200	0.064	0.130641	0.108347	0.311937	8.316860	9.999999	24.12	48.52	55.00 !	18.81	2200	0.7246	9.289	3.1454
0.300	0.095	0.129344	0.109153	0.467212	3.659698	9.999999	35.55	62.26	33.00	28.22	2200	0.7300	9.197	3.1688
0.400	0.127	0.126603	0.107516	0.624835	2.014942	4.277920	47.10	71.90	6.00	37.63	2200	0.7191	9.002	3.1212
0.500	0.159	0.124628	0.108779	0.779221	1.269454	2.216034	57.28	78.51	0.00	47.03	2200	0.7275	8.861	3.1579
0.600	0.191	0.120053	0.109282	0.934203	0.849205	1.288358	65.91	83.44	0.00	56.44	2200	0.7309	8.536	3.1725
0.700	0.223	0.111827	0.107479	1.093537	0.581153	0.797936	72.83	87.32	0.00	65.85	2200	0.7188	7.951	3.1202
0.800	0.255	0.098027	0.100726	1.266082	0.390038	0.500970	77.86	90.62	0.00	75.25	2200	0.6737	6.970	2.9241
0.900	0.286	0.078869	0.087375	1.465428	0.247949	0.305212	81.24	93.51	0.00	84.66	2200	0.5844	5.608	2.5366
1.000	0.318	0.058925	0.070829	1.698078	0.150051	0.180365	83.19	95.77	0.00	94.06	2200	0.4737	4.190	2.0562
1.100	0.350	0.038261	0.050936	1.995205	0.080521	0.097451	82.63	97.58	0.00	103.47	2200	0.3407	2.720	1.4787
1.120	0.357	0.034049	0.046546	2.068431	0.069122	0.084367	81.93	97.90	0.00	105.35	2200	0.3113	2.421	1.3513
1.140	0.363	0.029807	0.042010	2.148986	0.058404	0.072207	80.88	98.20	0.00	107.23	2200	0.2810	2.119	1.2196
1.160	0.369	0.025533	0.037327	2.238991	0.048320	0.060897	79.35	98.49	0.00	109.12	2200	0.2497	1.815	1.0836
1.180	0.376	0.021228	0.032493	2.341655	0.038822	0.050360	77.09	98.78	0.00	111.00	2200	0.2173	1.509	0.9433
1.200	0.382	0.016915	0.027537	2.461498	0.029912	0.040579	73.71	99.05	0.00	112.88	2200	0.1842	1.203	0.7994
1.220	0.388	0.012564	0.022420	2.607549	0.021495	0.031441	68.37	99.31	0.00	114.76	2200	0.1499	0.893	0.6509
1.240	0.395	0.008183	0.017151	2.796177	0.013552	0.022907	59.16	99.56	0.00	116.64	2200	0.1147	0.582	0.4979
1.260	0.401	0.003763	0.011716	3.066285	0.006035	0.014915	40.47	99.80	0.00	118.52	2200	0.0784	0.268	0.3401
1.280	0.407	-0.000668	0.006151	3.543450	-0.001039	0.007468	0.00	99.99	0.00	120.40	2200	0.0411	-0.048	0.1786
1.300	0.414	-0.005127	0.000432	6.122065	-0.007726	0.000500	0.00	99.99	0.00	122.28	2200	0.0029	-0.365	0.0125
1.320	0.420	-0.009595	-0.005417	3.748249	-0.014023	-0.005997	0.60	51.88	0.00	124.17	2200	-0.0362	-0.682	-0.1572
