v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[Nm]
0.000	0.000	0.081058	0.015829	0.000072	9.999999	9.999999	0.02	0.01	0.00 !	0.00	2200	105.86	5.763	459.51
0.025	0.008	0.087996	0.013246	0.059364	9.999999	9.999999	16.61	9.91	0.00 !	2.35	2200	88.59	6.257	384.53
0.050	0.016	0.071504	0.015564	0.114960	9.999999	9.999999	22.97	20.66	0.00 !	4.70	2200	104.09	5.084	451.83
0.075	0.024	0.028042	0.006822	0.203368	9.999999	9.999999	30.83	42.39	0.00 !	7.05	2200	45.62	1.994	198.04
0.100	0.032	0.043035	0.015300	0.230708	9.999999	9.999999	28.13	44.61	0.00 !	9.41	2200	102.33	3.060	444.16
0.105	0.033	0.040256	0.014707	0.244167	9.298142	9.999999	28.74	47.27	0.00 !	9.88	2200	98.36	2.862	426.94
0.130	0.041	0.039166	0.014743	0.302152	5.901535	9.999999	34.54	54.86	0.00 !	12.23	2200	98.60	2.785	428.00
0.155	0.049	0.035689	0.014173	0.363109	3.782824	9.692154	39.03	62.47	0.00	14.58	2200	94.79	2.538	411.46
0.180	0.057	0.032052	0.013508	0.425751	2.519161	5.898010	42.71	69.25	0.00	16.93	2200	90.34	2.279	392.14
0.205	0.065	0.028219	0.012729	0.490676	1.709891	3.762472	45.45	75.31	0.00	19.28	2200	85.13	2.006	369.53
0.230	0.073	0.024272	0.011845	0.558493	1.168414	2.479166	47.13	80.63	0.00	21.63	2200	79.22	1.726	343.88
0.255	0.081	0.020138	0.010831	0.630389	0.788653	1.663330	47.41	85.34	0.00	23.99	2200	72.44	1.432	314.42
0.280	0.089	0.015795	0.009667	0.708101	0.513038	1.121450	45.75	89.50	0.00	26.34	2200	64.66	1.123	280.65
