v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.037673	0.774575	0.000033	9.999999	9.999999	0.00	0.02	97.00 !	0.00	2200	5.180	2.679	22.49
0.100	0.032	0.018805	0.226521	0.134579	4.788662	9.999999	0.83	58.58	97.00	9.41	2200	1.515	1.337	6.58
0.200	0.064	0.023816	0.262244	0.261390	1.516169	9.999999	1.82	77.09	97.00	18.81	2200	1.754	1.693	7.61
0.300	0.095	0.027850	0.287439	0.384957	0.787992	9.999999	2.91	85.27	97.00	28.22	2200	1.922	1.980	8.34
0.400	0.127	0.031257	0.310974	0.505260	0.497475	9.999999	4.02	89.58	97.00	37.63	2200	2.080	2.222	9.03
0.500	0.159	0.033834	0.332840	0.623050	0.344632	6.780570	5.08	92.21	97.00	47.03	2200	2.226	2.406	9.66
0.600	0.191	0.035747	0.354497	0.738293	0.252856	4.179250	6.05	93.94	97.00	56.44	2200	2.371	2.542	10.29
0.700	0.223	0.037328	0.377069	0.850773	0.193991	2.799415	6.93	95.11	97.00	65.85	2200	2.522	2.654	10.95
0.800	0.255	0.038622	0.399790	0.961000	0.153674	1.988393	7.73	95.95	97.00	75.25	2200	2.674	2.746	11.61
0.900	0.286	0.039300	0.423582	1.068698	0.123550	1.479621	8.35	96.60	97.00	84.66	2200	2.833	2.794	12.30
1.000	0.318	0.039879	0.447836	1.174292	0.101552	1.140405	8.90	97.08	95.00	94.06	2200	2.995	2.835	13.00
1.100	0.350	0.039906	0.473047	1.277650	0.083984	0.905037	9.28	97.48	95.00	103.47	2200	3.164	2.837	13.73
1.200	0.382	0.039707	0.499737	1.378583	0.070217	0.736441	9.53	97.80	95.00	112.88	2200	3.342	2.823	14.51
1.300	0.414	0.039521	0.527086	1.477635	0.059550	0.610930	9.75	98.05	95.00	122.28	2200	3.525	2.810	15.30
1.400	0.446	0.038873	0.555975	1.574407	0.050505	0.515954	9.79	98.27	95.00	131.69	2200	3.718	2.764	16.14
1.500	0.477	0.038421	0.586264	1.669063	0.043484	0.442343	9.83	98.45	92.00	141.10	2200	3.921	2.732	17.02
1.600	0.509	0.037679	0.617787	1.761782	0.037480	0.384078	9.76	98.60	92.00	150.50	2200	4.132	2.679	17.93
1.620	0.516	0.037555	0.624419	1.779999	0.036440	0.373999	9.74	98.63	92.00	152.38	2200	4.176	2.670	18.13
1.640	0.522	0.037405	0.631096	1.798146	0.035415	0.364337	9.72	98.65	92.00	154.27	2200	4.221	2.660	18.32
1.660	0.528	0.037228	0.637803	1.816230	0.034403	0.355060	9.69	98.68	92.00	156.15	2200	4.266	2.647	18.52
1.680	0.535	0.037092	0.644415	1.834325	0.033465	0.346081	9.67	98.70	92.00	158.03	2200	4.310	2.637	18.71
1.700	0.541	0.036983	0.650956	1.852416	0.032587	0.337400	9.66	98.73	92.00	159.91	2200	4.354	2.630	18.90
1.720	0.547	0.036852	0.657529	1.870447	0.031721	0.329056	9.64	98.75	92.00	161.79	2200	4.398	2.620	19.09
1.740	0.554	0.036799	0.664408	1.888262	0.030952	0.321164	9.64	98.77	92.00	163.67	2200	4.444	2.616	19.29
1.760	0.560	0.036760	0.671427	1.905956	0.030220	0.313618	9.64	98.79	92.00	165.55	2200	4.491	2.614	19.49
1.780	0.567	0.036697	0.678486	1.923587	0.029494	0.306352	9.63	98.80	92.00	167.44	2200	4.538	2.609	19.70
1.800	0.573	0.036609	0.685583	1.941156	0.028773	0.299352	9.61	98.82	92.00	169.32	2200	4.585	2.603	19.90
1.820	0.579	0.036497	0.692723	1.958662	0.028058	0.292607	9.59	98.84	92.00	171.20	2200	4.633	2.595	20.11
1.840	0.586	0.036416	0.700053	1.976021	0.027390	0.286166	9.57	98.86	92.00	173.08	2200	4.682	2.589	20.32
1.860	0.592	0.036402	0.707682	1.993174	0.026794	0.280053	9.57	98.87	92.00	174.96	2200	4.733	2.588	20.54
1.880	0.598	0.036364	0.715368	2.010259	0.026200	0.274155	9.56	98.89	92.00	176.84	2200	4.784	2.586	20.77
1.900	0.605	0.036423	0.723430	2.027096	0.025693	0.268581	9.57	98.90	92.00	178.72	2200	4.838	2.590	21.00
2.000	0.637	0.039557	0.771107	2.106721	0.025182	0.245451	10.26	98.87	90.00	188.13	2200	5.157	2.813	22.39
2.100	0.668	0.044308	0.828098	2.180735	0.025585	0.227701	11.24	98.80	80.00	197.54	2200	5.538	3.150	24.04
