v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[Nm]
0.000	0.000	0.049764	0.005564	0.000089	9.999999	9.999999	0.03	0.02	0.00 !	0.00	2200	37.211	3.5383	161.52
0.025	0.008	0.042957	0.006579	0.068283	9.999999	9.999999	16.32	13.94	0.00 !	2.35	2200	43.998	3.0543	190.98
0.050	0.016	0.018168	0.006581	0.136557	9.999999	9.999999	13.80	36.84	0.00 !	4.70	2200	44.013	1.2918	191.04
0.055	0.018	0.017728	0.006533	0.150430	9.999999	9.999999	14.92	39.99	0.00 !	5.17	2200	43.697	1.2605	189.67
0.080	0.025	0.015413	0.006294	0.220450	6.132771	9.999999	19.59	54.38	0.00 !	7.53	2200	42.092	1.0959	182.70
0.105	0.033	0.012925	0.005989	0.292230	2.985409	9.999999	22.66	66.64	0.00	9.88	2200	40.052	0.9190	173.85
0.130	0.041	0.010178	0.005624	0.366388	1.533623	6.518074	23.53	77.07	0.00	12.23	2200	37.611	0.7237	163.25
0.155	0.049	0.007216	0.005172	0.444220	0.764842	3.536809	21.63	85.81	0.00	14.58	2200	34.592	0.5131	150.15
0.160	0.051	0.006597	0.005079	0.460221	0.656186	3.157519	20.78	87.38	0.00	15.05	2200	33.968	0.4690	147.44
0.165	0.053	0.005960	0.004965	0.476756	0.557485	2.814677	19.81	88.90	0.00	15.52	2200	33.208	0.4238	144.14
0.170	0.054	0.005312	0.004866	0.493192	0.468038	2.522070	18.56	90.37	0.00	15.99	2200	32.544	0.3777	141.26
0.175	0.056	0.004681	0.004753	0.510097	0.389235	2.258149	17.24	91.74	0.00	16.46	2200	31.786	0.3328	137.97
0.180	0.057	0.004043	0.004638	0.527240	0.317742	2.025076	15.69	93.06	0.00	16.93	2200	31.019	0.2874	134.64
0.185	0.059	0.003372	0.004517	0.544754	0.250903	1.816692	13.81	94.37	0.00	17.40	2200	30.211	0.2398	131.13
0.190	0.060	0.002694	0.004395	0.562551	0.190064	1.631691	11.65	95.62	0.00	17.87	2200	29.394	0.1916	127.59
0.195	0.062	0.002000	0.004270	0.580694	0.133949	1.466470	9.13	96.83	0.00	18.34	2200	28.559	0.1422	123.96
0.200	0.064	0.001300	0.004145	0.599147	0.082773	1.319268	6.27	98.00	0.00	18.81	2200	27.720	0.0924	120.32
0.205	0.065	0.000588	0.004000	0.618499	0.035611	1.182371	3.01	99.12	0.00	19.28	2200	26.753	0.0418	116.13
0.210	0.067	-0.000130	0.003856	0.638263	-0.007500	1.060184	0.00	99.99	0.00	19.75	2200	25.787	-0.0092	111.93
0.215	0.068	-0.000867	0.003709	0.658560	-0.047781	0.950252	0.00	99.99	0.00	20.22	2200	24.804	-0.0617	107.66
0.220	0.070	-0.001614	0.003562	0.679352	-0.084904	0.851749	0.00	99.99	0.00	20.69	2200	23.820	-0.1147	103.39
0.225	0.072	-0.002356	0.003401	0.701238	-0.118518	0.760288	0.00	99.99	0.00	21.16	2200	22.745	-0.1675	98.73
0.230	0.073	-0.003148	0.003232	0.724152	-0.151515	0.676467	0.00	99.99	0.00	21.63	2200	21.617	-0.2238	93.83
0.235	0.075	-0.003931	0.003070	0.747561	-0.181240	0.602339	0.00	99.99	0.00	22.11	2200	20.531	-0.2795	89.12
0.240	0.076	-0.004709	0.002896	0.772404	-0.208191	0.533506	0.00	99.99	0.00	22.58	2200	19.370	-0.3348	84.08
0.245	0.078	-0.005487	0.002712	0.798922	-0.232780	0.469624	0.00	99.99	0.00	23.05	2200	18.139	-0.3901	78.73
0.250	0.080	-0.006298	0.002529	0.826716	-0.256610	0.412134	0.00	99.99	0.00	23.52	2200	16.913	-0.4478	73.41
0.255	0.081	-0.007113	0.002338	0.856593	-0.278571	0.359043	0.00	99.99	0.00	23.99	2200	15.636	-0.5058	67.87
0.260	0.083	-0.007950	0.002138	0.889153	-0.299470	0.309744	0.00	99.99	0.00	24.46	2200	14.298	-0.5652	62.06
0.265	0.084	-0.008766	0.001944	0.923645	-0.317881	0.266016	0.00	99.99	0.00	24.93	2200	13.002	-0.6233	56.44
0.270	0.086	-0.009602	0.001734	0.962886	-0.335401	0.224281	0.00	99.99	0.00	25.40	2200	11.594	-0.6827	50.33
0.275	0.088	-0.010437	0.001521	1.006717	-0.351432	0.186238	0.00	99.99	0.00	25.87	2200	10.173	-0.7421	44.16
0.280	0.089	-0.011302	0.001310	1.056021	-0.367081	0.152017	0.00	99.99	0.00	26.34	2200	8.765	-0.8036	38.04
0.285	0.091	-0.012150	0.001080	1.117173	-0.380922	0.118858	0.00	99.99	0.00	26.81	2200	7.226	-0.8639	31.37
0.290	0.092	-0.013027	0.000852	1.192026	-0.394452	0.088983	0.00	99.99	0.00	27.28	2200	5.700	-0.9263	24.74
0.295	0.094	-0.013908	0.000622	1.291533	-0.406963	0.061668	0.00	99.99	0.00	27.75	2200	4.158	-0.9889	18.05
0.300	0.095	-0.014798	0.000372	1.455521	-0.418710	0.035083	0.00	99.99	0.00	28.22	2200	2.488	-1.0522	10.80
0.305	0.097	-0.015690	0.000123	1.847323	-0.429489	0.011011	0.00	99.99	0.00	28.69	2200	0.821	-1.1156	3.56
0.310	0.099	-0.018105	0.000084	2.023163	-0.479755	0.007220	0.00	99.99	0.00	29.16	2200	0.565	-1.2873	2.45
0.315	0.100	-0.019865	-0.000156	1.819405	-0.509815	-0.012674	1.27	58.47	0.00	29.63	2200	-1.040	-1.4124	-4.52
