v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.136445	0.391317	0.000038	9.999999	9.999999	0.00	0.01	97.00 !	0.00	2200	2.6172	9.701	11.360
0.100	0.032	0.085441	0.257893	0.131133	9.999999	9.999999	3.31	34.28	97.00 !	9.41	2200	1.7248	6.075	7.487
0.200	0.064	0.091179	0.277342	0.258480	5.804666	9.999999	6.58	54.77	97.00 !	18.81	2200	1.8549	6.483	8.051
0.300	0.095	0.100226	0.303842	0.380708	2.835807	9.999999	9.90	66.73	85.00	28.22	2200	2.0321	7.126	8.821
0.400	0.127	0.109626	0.327298	0.500117	1.744750	9.999999	13.40	74.22	85.00	37.63	2200	2.1890	7.795	9.502
0.500	0.159	0.118562	0.351847	0.616168	1.207660	7.167773	16.85	79.23	83.00	47.03	2200	2.3532	8.430	10.214
0.600	0.191	0.126475	0.376565	0.729429	0.894625	4.439422	20.15	82.79	80.00	56.44	2200	2.5185	8.993	10.932
0.700	0.223	0.133328	0.401026	0.840356	0.692893	2.977275	23.27	85.42	80.00	65.85	2200	2.6821	9.480	11.642
0.800	0.255	0.138690	0.418222	0.952377	0.551831	2.080063	26.53	87.46	77.00	75.25	2200	2.7971	9.861	12.141
0.900	0.286	0.142261	0.418397	1.071334	0.447241	1.461507	30.60	89.12	77.00	84.66	2200	2.7983	10.115	12.146
1.000	0.318	0.144741	0.413109	1.193403	0.368579	1.051973	35.04	90.45	73.00	94.06	2200	2.7629	10.291	11.993
1.100	0.350	0.146691	0.408847	1.315469	0.308716	0.782209	39.47	91.52	73.00	103.47	2200	2.7344	10.430	11.869
1.200	0.382	0.147944	0.405350	1.437525	0.261623	0.597346	43.80	92.40	69.00	112.88	2200	2.7110	10.519	11.767
1.300	0.414	0.148627	0.402725	1.559343	0.223950	0.466786	47.98	93.13	69.00	122.28	2200	2.6935	10.568	11.691
1.400	0.446	0.148700	0.400823	1.680883	0.193195	0.371971	51.94	93.75	64.00	131.69	2200	2.6808	10.573	11.636
1.500	0.477	0.148161	0.399352	1.802271	0.167683	0.301316	55.65	94.29	64.00	141.10	2200	2.6709	10.534	11.593
1.600	0.509	0.147134	0.398669	1.923081	0.146357	0.247852	59.05	94.75	59.00	150.50	2200	2.6664	10.461	11.574
1.700	0.541	0.145552	0.397866	2.044097	0.128251	0.206220	62.19	95.16	59.00	159.91	2200	2.6610	10.349	11.550
1.800	0.573	0.143621	0.397943	2.164254	0.112879	0.173758	64.96	95.52	53.00	169.32	2200	2.6615	10.212	11.552
1.900	0.605	0.141274	0.397619	2.284864	0.099654	0.147620	67.51	95.85	53.00	178.72	2200	2.6593	10.045	11.543
2.000	0.637	0.138981	0.398033	2.404619	0.088478	0.126698	69.83	96.13	47.00	188.13	2200	2.6621	9.882	11.555
2.100	0.668	0.137576	0.398313	2.524494	0.079441	0.109523	72.53	96.35	25.00	197.54	2200	2.6640	9.782	11.563
2.200	0.700	0.137546	0.400658	2.641605	0.072367	0.095818	75.53	96.51	0.00	206.94	2200	2.6797	9.780	11.631
2.300	0.732	0.135446	0.402644	2.758949	0.065200	0.084271	77.37	96.70	0.00	216.35	2200	2.6929	9.630	11.689
2.400	0.764	0.131830	0.401003	2.881254	0.058282	0.073868	78.90	96.91	0.00	225.76	2200	2.6820	9.373	11.641
2.500	0.796	0.127331	0.397100	3.007184	0.051879	0.064717	80.16	97.11	0.00	235.16	2200	2.6559	9.053	11.528
2.600	0.828	0.121577	0.389731	3.139209	0.045798	0.056466	81.11	97.33	0.00	244.57	2200	2.6066	8.644	11.314
2.700	0.859	0.114986	0.379933	3.276591	0.040166	0.049154	81.71	97.55	0.00	253.97	2200	2.5410	8.176	11.030
2.800	0.891	0.106916	0.365768	3.423867	0.034727	0.042430	81.85	97.78	0.00	263.38	2200	2.4463	7.602	10.618
2.900	0.923	0.092606	0.344246	3.589419	0.028040	0.035943	78.01	98.12	0.00	272.79	2200	2.3024	6.584	9.994
2.920	0.929	0.090013	0.338371	3.626638	0.026883	0.034609	77.68	98.18	0.00	274.67	2200	2.2631	6.400	9.823
2.940	0.936	0.087386	0.332314	3.664694	0.025745	0.033300	77.31	98.24	0.00	276.55	2200	2.2226	6.213	9.647
2.960	0.942	0.084720	0.326074	3.703638	0.024623	0.032017	76.91	98.31	0.00	278.43	2200	2.1808	6.024	9.466
2.980	0.949	0.082088	0.319864	3.743030	0.023539	0.030779	76.48	98.37	0.00	280.31	2200	2.1393	5.837	9.286
3.000	0.955	0.079449	0.313563	3.783173	0.022479	0.029573	76.01	98.42	0.00	282.19	2200	2.0972	5.649	9.103
3.020	0.961	0.076826	0.307234	3.823957	0.021450	0.028405	75.52	98.48	0.00	284.08	2200	2.0548	5.462	8.919
3.040	0.968	0.074198	0.300825	3.865546	0.020445	0.027267	74.98	98.54	0.00	285.96	2200	2.0120	5.276	8.733
3.060	0.974	0.071559	0.294318	3.908033	0.019461	0.026157	74.40	98.60	0.00	287.84	2200	1.9684	5.088	8.544
3.080	0.980	0.068912	0.287719	3.951454	0.018498	0.025076	73.77	98.66	0.00	289.72	2200	1.9243	4.900	8.353
3.100	0.987	0.066259	0.281036	3.995851	0.017558	0.024022	73.09	98.71	0.00	291.60	2200	1.8796	4.711	8.159
3.120	0.993	0.063596	0.274254	4.041327	0.016636	0.022995	72.35	98.77	0.00	293.48	2200	1.8342	4.522	7.962
3.140	0.999	0.060924	0.267379	4.087936	0.015735	0.021993	71.55	98.83	0.00	295.36	2200	1.7883	4.332	7.762
3.160	1.006	0.058244	0.260418	4.135738	0.014853	0.021016	70.68	98.88	0.00	297.24	2200	1.7417	4.141	7.560
3.180	1.012	0.055576	0.253415	4.184663	0.013995	0.020067	69.74	98.94	0.00	299.13	2200	1.6949	3.952	7.357
3.200	1.019	0.052849	0.246170	4.235484	0.013142	0.019130	68.70	98.99	0.00	301.01	2200	1.6464	3.758	7.146
3.220	1.025	0.050150	0.238940	4.287440	0.012317	0.018225	67.58	99.05	0.00	302.89	2200	1.5981	3.566	6.937
3.240	1.031	0.047438	0.231605	4.341057	0.011507	0.017340	66.36	99.10	0.00	304.77	2200	1.5490	3.373	6.724
3.260	1.038	0.044721	0.224183	4.396399	0.010715	0.016477	65.03	99.16	1.00	306.65	2200	1.4994	3.180	6.508
3.280	1.044	0.041999	0.216680	4.453588	0.009941	0.015636	63.58	99.21	1.00	308.53	2200	1.4492	2.986	6.290
3.300	1.050	0.039266	0.209076	4.512872	0.009182	0.014815	61.98	99.27	1.00	310.41	2200	1.3983	2.792	6.070
3.320	1.057	0.036528	0.201387	4.574377	0.008439	0.014014	60.22	99.32	1.00	312.29	2200	1.3469	2.597	5.846
3.340	1.063	0.033780	0.193598	4.638379	0.007711	0.013231	58.28	99.37	1.00	314.18	2200	1.2948	2.402	5.620
3.360	1.070	0.031033	0.185747	4.704948	0.007000	0.012469	56.14	99.43	1.00	316.06	2200	1.2423	2.207	5.392
3.380	1.076	0.028274	0.177789	4.774584	0.006302	0.011725	53.75	99.48	1.00	317.94	2200	1.1891	2.010	5.161
3.400	1.082	0.025511	0.169751	4.847484	0.005620	0.010998	51.10	99.53	1.00	319.82	2200	1.1353	1.814	4.928
3.420	1.089	0.022678	0.161572	4.924398	0.004937	0.010286	48.00	99.58	1.00	321.70	2200	1.0806	1.612	4.690
3.440	1.095	0.019858	0.153229	5.005995	0.004273	0.009585	44.58	99.64	1.00	323.58	2200	1.0248	1.412	4.448
3.460	1.101	0.017092	0.144994	5.091033	0.003636	0.008914	40.79	99.69	1.00	325.46	2200	0.9697	1.215	4.209
3.480	1.108	0.007892	0.138424	5.168171	0.001659	0.008364	19.84	99.86	1.00	327.35	2200	0.9258	0.561	4.019
3.500	1.114	0.005016	0.129987	5.263661	0.001043	0.007720	13.51	99.91	1.00	329.23	2200	0.8694	0.357	3.774
3.520	1.120	0.002135	0.121466	5.366011	0.000439	0.007092	6.19	99.96	1.00	331.11	2200	0.8124	0.152	3.526
3.540	1.127	-0.000754	0.112863	5.476372	-0.000153	0.006479	0.00	99.99	1.00	332.99	2200	0.7548	-0.054	3.276
3.560	1.133	-0.003651	0.104170	5.596304	-0.000734	0.005879	0.00	99.99	1.00	334.87	2200	0.6967	-0.260	3.024
3.580	1.140	-0.006559	0.095377	5.727888	-0.001303	0.005293	0.00	99.99	1.00	336.75	2200	0.6379	-0.466	2.769
3.600	1.146	-0.009481	0.086477	5.873848	-0.001863	0.004720	0.00	99.99	1.00	338.63	2200	0.5784	-0.674	2.510
3.620	1.152	-0.012373	0.077618	6.035537	-0.002404	0.004167	0.00	99.99	1.00	340.51	2200	0.5191	-0.880	2.253
3.640	1.159	-0.015349	0.068404	6.224216	-0.002950	0.003612	0.00	99.99	1.00	342.40	2200	0.4575	-1.091	1.986
3.660	1.165	-0.018329	0.059115	6.443793	-0.003484	0.003070	0.00	99.99	1.00	344.28	2200	0.3954	-1.303	1.716
3.680	1.171	-0.021269	0.049906	6.702200	-0.003999	0.002550	0.00	99.99	1.00	346.16	2200	0.3338	-1.512	1.449
3.700	1.178	-0.024229	0.040562	7.023889	-0.004507	0.002039	0.00	99.99	1.00	348.04	2200	0.2713	-1.723	1.178
3.720	1.184	-0.027203	0.031120	7.446189	-0.005006	0.001539	0.00	99.99	4.00	349.92	2200	0.2081	-1.934	0.903
3.740	1.190	-0.030185	0.021577	8.055108	-0.005495	0.001050	0.00	99.99	4.00	351.80	2200	0.1443	-2.146	0.626
3.760	1.197	-0.033173	0.011954	9.113444	-0.005975	0.000573	0.00	99.99	4.00	353.68	2200	0.0800	-2.359	0.347
3.780	1.203	-0.036170	0.002236	12.811938	-0.006446	0.000105	0.00	99.99	4.00	355.56	2200	0.0150	-2.572	0.065
3.800	1.210	-0.039168	-0.007549	10.097396	-0.006907	-0.000350	0.04	37.15	4.00	357.45	2200	-0.0505	-2.785	-0.219
