v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.124287	0.074240	0.000053	9.999999	9.999999	0.01	0.01	0.00 !	0.00	2200	0.4965	8.837	2.1552
0.100	0.032	0.124057	0.074939	0.167903	9.999999	9.999999	16.55	29.33	12.00 !	9.41	2200	0.5012	8.821	2.1755
0.200	0.064	0.121751	0.075816	0.335025	7.750933	9.999999	32.12	49.73	0.00 !	18.81	2200	0.5071	8.657	2.2010
0.300	0.095	0.114563	0.075244	0.503300	3.241462	7.096544	45.68	64.40	0.00	28.22	2200	0.5032	8.146	2.1844
0.400	0.127	0.106548	0.074543	0.672323	1.695769	2.965990	57.17	74.66	0.00	37.63	2200	0.4986	7.576	2.1640
0.500	0.159	0.094511	0.071479	0.847491	0.962684	1.456149	66.11	82.28	0.00	47.03	2200	0.4781	6.720	2.0751
0.600	0.191	0.077555	0.064704	1.037446	0.548591	0.762809	71.92	88.22	0.00	56.44	2200	0.4327	5.514	1.8784
0.700	0.223	0.057231	0.053645	1.256587	0.297426	0.398266	74.68	92.81	1.00	65.85	2200	0.3588	4.069	1.5573
0.800	0.255	0.035678	0.040131	1.521927	0.141960	0.199595	71.12	96.24	4.00	75.25	2200	0.2684	2.537	1.1650
0.820	0.261	0.031253	0.037069	1.584934	0.118360	0.171203	69.13	96.81	4.00	77.13	2200	0.2479	2.222	1.0761
0.840	0.267	0.026836	0.033803	1.653823	0.096851	0.145229	66.69	97.35	4.00	79.01	2200	0.2261	1.908	0.9813
0.860	0.274	0.021850	0.031141	1.721197	0.075229	0.124676	60.34	97.91	4.00	80.90	2200	0.2083	1.554	0.9041
0.880	0.280	0.017343	0.027656	1.803533	0.057029	0.103344	55.18	98.39	7.00	82.78	2200	0.1850	1.233	0.8029
0.900	0.286	0.012801	0.024051	1.896772	0.040245	0.084014	47.90	98.85	7.00	84.66	2200	0.1609	0.910	0.6982
0.920	0.293	0.008208	0.020343	2.004963	0.024694	0.066525	37.12	99.28	7.00	86.54	2200	0.1361	0.584	0.5906
0.940	0.299	0.003590	0.016488	2.136469	0.010346	0.050549	20.47	99.70	7.00	88.42	2200	0.1103	0.255	0.4786
0.960	0.306	-0.001084	0.012564	2.303812	-0.002996	0.036162	0.00	99.99	7.00	90.30	2200	0.0840	-0.077	0.3647
0.980	0.312	-0.005722	0.008508	2.542474	-0.015170	0.023020	0.00	99.99	7.00	92.18	2200	0.0569	-0.407	0.2470
1.000	0.318	-0.011152	0.005417	2.839543	-0.028398	0.013794	0.00	99.99	10.00	94.06	2200	0.0362	-0.793	0.1573
1.020	0.325	-0.015919	0.001117	3.972171	-0.038962	0.002679	0.00	99.99	10.00	95.95	2200	0.0075	-1.132	0.0324
1.040	0.331	-0.020782	-0.003173	3.286552	-0.048928	-0.007183	0.72	53.90	10.00	97.83	2200	-0.0212	-1.478	-0.0921
